gene_id	NCH_1	NCH_2	NCH_3	NCH_4	NCH_5	NCH_6	NCH_7	NCH_8	NCH_9	NCH_10	NCH_11	NCH_12	NCH_13	NCH_14	NCH_15	NCH_16	NCH_17	NCH_18	NCH_19	NCH_20	NCH_21	NCH_22	NCH_23	NCH_24	NCH_25	NCH_26	NCH_27	NCH_28	NCH_29	NCH_30	NCH_31	NCH_32	NCH_33	NCH_34	NCH_35	NCH_36	NCH_37	NCH_38	NCH_39	NCH_40	NCH_41	NCH_42	NCH_43	NCH_44	NCH_45	NCH_46	NCH_47	NCH_48	NCH_49	NCH_50	NCH_51	NCH_52	NCH_53	NCH_54	NCH_55	NCH_56	NCH_57	NCH_58	NCH_59	NCH_60	NCH_61	NCH_62	NCH_63	NCH_64	zcc484	zcc513	zcc538	zcc557	zcc312	zcc490	zcc497	zcc534	zcc323	zcc325	zcc508	zcc499	zcc540	zcc535	zcc510	zcc517	zcc541	zcc558	zcc566	zcc581	zcc512	zcc405	zcc409	zcc570	zcc582	zcc444	zcc447	zcc448	zcc450	zcc451	zcc452	zcc454	zcc487	zcc456	zcc496	zcc492	zcc502	zcc515	zcc516	zcc542	zcc559	zcc544	zcc464	zcc563	zcc567	zcc579	zcc560	zcc466	zcc571	zcc572	zcc488	zcc575	zcc522	zcc548	zcc568	zcc576	zcc577
CD27	1.212317	1.920103	1.268368	1.184066	1.419077	1.845355	1.442679	1.671272	1.043728	22	1.163442	1.916788	1.253834	1.596633	2	1.425963	1.141758	1.34136	1.557856	1.052894	1.425263	1.062366	1.155629	1.333229	7	1.250856	1.597487	1.140956	1.329375	1.462075	80	1.145097	1.535658	1.830518	1.071269	1.008294	1.351942	1.127783	1.046496	11	1.213265	1.408646	1.051548	1.371591	1.084791	1.891814	1.584932	1.408751	1.030766	1.008473	1.01364	1.108683	1.435884	1.524727	1.461346	1.309953	1.078098	1.234145	1.083862	1.342041	1.657045	1.032241	7	1.465326	 5.00	 1.42	 1.37	 1.58	 4.00	 1.73	 1.23	 4.00	 4.00	 4.00	 1.19	 4.00	 4.00	 4.00	 1.00	 5.00	 1.51	 4.00	 1.38	 6.00	 1.66	 1.81	 4.00	 6.00	 1.87	 1.58	 5.00	 4.00	 1.20	13.00	 1.98	 1.69	 1.52	 1.72	 1.46	 5.00	 1.79	 1.22	 4.00	 1.15	 1.62	 1.69	 1.77	 5.00	 1.44	 6.00	18.00	 5.00	 1.00	17.00	39.00	24.00	 1.19	12.00	 1.02	 1.17	 4.00
CD276	8	27	13	30	14	52	13	11	10	7	16	33	72	10	7	10	15	74	41	35	12	55	49	15	8	6	27	3	11	14	260	4	18	52	3	3	3	2	4	1.280181	60	29	7	37	16	16	35	26	1.510835	1.482019	1.492893	6	8	14	7	22	55	13	3	15	15	1.316117	10	31	 97	376	 58	119	 66	 51	 80	 48	 84	 43	 23	200	107	 64	 44	 92	 72	164	140	108	 85	 91	 62	 79	 63	 99	 97	 55	 62	119	470	248	107	 79	121	 94	 50	 28	 42	101	 75	 29	225	110	 75	 84	 81	 79	 52	 65	204	131	 69	 69	  8	 42	 66
CTLA4	1.116878	2	1.385906	1.113259	1.072848	2	1.067949	1.589602	1.003513	2	1.060142	1.119602	1.072205	1.053457	2	1.082608	1.294035	1.182827	1.879246	1.086617	1.374518	1.075554	1.3087	1.064549	1.424503	1.37125	1.183733	1.037992	1.084466	1.264154	2	1.088373	2	1.720656	1.202009	1.003964	1.325856	1.189527	1.007502	1.735757	1.031064	1.356362	1.02891	1.193976	1.105222	1.523975	1.053914	1.778676	1.003341	1.003069	1.006485	1	1.195538	1.014307	1.573605	1.014796	1.225122	1.109247	1.048818	1.696117	1.098734	1.007813	8	1.028221	 1.15	 1.40	 1.07	 1.16	 1.39	 1.64	 1.00	 1.00	 1.02	 1.67	 1.58	 1.03	 1.31	 1.10	 1.00	 3.00	 1.57	 1.47	 1.36	 1.53	 1.19	 1.05	 1.27	 1.11	 1.48	 1.24	30.00	 1.32	 1.08	 5.00	 1.63	 3.00	 1.34	 1.09	 1.10	 1.28	 3.00	 1.03	 3.00	 1.17	 1.11	 1.06	 1.11	 1.24	 1.29	 1.88	12.00	 3.00	 1.95	 5.00	 6.00	13.00	 1.04	 6.00	 1.03	 1.02	 1.85
CXCL11	1.071404	1.414916	1.876599	1.664823	1.045959	35.501407	1.050498	1.749216	1.017688	5	1.2152	1.258569	1.380637	2	5	1.043728	1.92023	1.448612	1.65182	1.041371	1.059232	1.043102	1.262659	1.525792	2	1.679344	1.069084	1.585028	1.155696	1.477274	3	1.45351	5	2	1.02477	1.025018	1.103876	2	1.165957	1.363292	1.6256	1.454269	1.249397	1.098669	1.006341	1.036095	1.081494	1.098125	1.056348	1.011678	1.004082	1.039653	1.054098	1.126545	1.672928	1	1.015504	1.099284	1.042728	1.404194	1.52787	1.026147	1.204248	1	 1.63	13.00	 1.00	 1.25	 1.57	 1.64	 1.14	 9.00	 1.21	 1.45	 1.07	 3.00	 1.31	 1.30	 1.00	11.00	 1.40	 3.00	 1.95	 9.00	 1.98	 1.00	 1.96	 1.84	 1.02	 1.07	11.00	 7.00	 1.30	 4.00	11.00	 1.07	 1.92	 3.00	 1.23	 1.63	 3.00	 3.00	 1.42	 1.24	 1.59	 8.00	 1.03	 1.17	 1.54	 5.00	 8.00	 1.57	 1.48	11.00	70.00	12.00	 1.12	 3.00	 1.03	 1.07	 1.42
CXCL9	1.214485	11	8	1.501206	1.076367	30	1.15167	11	1.03449	30	1.077691	1.937764	1.750569	1.013465	30	1.121142	1.403662	1.858969	11	1.310575	1.171204	1.047375	1.113572	12	39	1.65683	1.09016	1.107365	1.181337	1.109949	412	1.035954	19	54	1.046322	1.019437	1.127594	1.452448	1.230633	1.190305	7	7	1.187719	1.038212	1.017387	1.047071	1.109074	1.138848	1.053722	1	1.020282	1.19572	1.477395	1.425523	1.748239	1.003358	1	1.196838	1.13462	1.608379	1.792257	1.012712	1.331318	1	  7.00	 86.00	  1.42	  5.00	  3.00	  7.00	  1.24	  3.00	  5.00	  3.00	  1.40	  1.97	  1.19	  1.97	  1.62	 14.00	  1.25	  9.00	  7.00	 15.00	  9.00	  1.24	  5.00	  6.00	  1.48	  1.07	 13.00	  5.00	  1.15	 36.00	  1.69	  1.72	  1.76	  6.00	  1.06	  3.00	 22.00	  1.16	  5.00	  1.71	  3.00	  1.16	  1.83	 19.00	  3.00	 27.00	 74.00	 10.00	  3.00	 31.00	247.00	 83.00	  1.31	 23.00	  1.22	  1.18	 11.00
FPR2	1.167748	1.138432	1.164126	1.192819	1.12574	1.327017	1.105206	1.692139	1.055474	1.020221	1.009837	1.034119	1.240662	1.065681	1.120587	1.099079	1.33458	1.14802	1.896846	1.002542	1.182397	1.067685	1.020445	1.06869	1.37474	1.059336	1.326095	1.076174	1.11395	1.045868	3	1.022239	8	1.273528	1.042965	1.032471	1.742728	1.254468	1.124594	8	1.182456	1.114959	1.02677	1.086242	1.047206	1.970305	1	1.100256	2	1.001753	1.018993	1.083982	1.871276	2	1.862096	1.02372	1.122992	1.047285	1.213025	1.026459	1.208432	1.013148	1.804582	1.114708	1.09	1.04	1.11	1.04	1.11	3.00	1.00	1.00	1.00	1.58	1.03	1.41	1.30	1.10	1.04	1.93	6.00	1.41	1.00	4.00	1.47	1.73	3.00	1.01	3.00	1.00	1.38	3.00	1.00	1.65	1.00	1.23	1.08	1.11	1.51	3.00	1.03	1.00	1.01	1.05	1.40	1.00	1.23	1.00	1.14	3.00	9.00	1.49	1.09	1.20	4.00	3.00	1.09	1.57	1.00	1.00	1.51
LAMP3	1.197525	10	1.164211	1.154417	1.203547	2	2	25	1.311527	2	1.26322	1.649612	2	1.236149	2	1.216191	1.36262	1.334581	2	1.308016	2	1.121152	1.079322	1.141399	1.120836	1.279221	1.2782	1.087989	1.147918	1.249846	43	1.049651	1.459382	8	1.750448	1.016573	8	1.2451	1.00708	1.437955	8	1.156327	1.127723	1.357225	1.696848	1.064499	1.158489	1.300956	1.039307	1.00318	1.012831	1.018014	1.067983	1.071762	1.133251	1.045074	1.066978	1.070678	1.077704	1.325271	1.215266	1.024404	1.545373	1.050669	 1.41	 3.00	 1.08	 1.31	 1.54	 1.43	 1.06	 1.40	 1.74	 1.47	 1.04	 7.00	 5.00	11.00	 1.74	 1.59	 1.28	 2.00	 1.18	 3.00	 1.69	 1.04	 1.63	 1.39	 1.37	 1.50	 7.00	29.00	 1.07	17.00	 1.76	 1.14	 1.91	 1.46	 1.75	 1.56	 1.39	 1.64	 1.43	 1.50	 1.39	 1.27	 1.87	 1.28	 1.20	52.00	 3.00	25.00	 1.92	 5.00	 3.00	 3.00	 1.05	 3.00	 1.22	 1.10	 1.65
LIF	1.1328	4	1.482185	1.348998	1.52547	1.601895	1.23586	4	10	1.404101	1.276143	1.987388	10	1.004534	1.16968	1.206698	1.975034	1.733369	15	1.457246	1.476601	1.375333	1.015899	1.14187	1.168845	1.199303	1.096834	1.125917	1.741681	1.110787	2	1.030737	20	1.511357	1.530141	1.05245	1.285179	1.150338	1.583085	1.122104	12	1.312824	1.254121	1.76252	1.582676	4	1.479084	1.07236	1.049804	1.003847	1.009103	1.044551	1.228418	1.548658	4	1.127507	1.149104	1.781533	1.108157	1.864266	1.344658	1.011465	14	1.299441	  1.26	116.00	  4.00	  1.81	  6.00	  6.00	  1.05	  1.86	  1.58	  1.85	  1.28	  4.00	  6.00	  1.93	  3.00	  3.00	 21.00	  3.00	  1.80	  5.00	  3.00	  9.00	  5.00	 36.00	  1.70	  1.57	  8.00	  3.00	  1.60	 11.00	  7.00	  5.00	  1.58	  1.46	 17.00	 52.00	  1.15	  1.05	 11.00	  1.37	  1.52	  1.48	  3.00	  1.02	  1.20	  1.62	 58.00	  3.00	 15.00	  3.00	113.00	  3.00	  1.38	  3.00	  1.01	  3.00	  7.00
NFATC3	7	6	7	8	10	9	5	7	2	8	7	9	8	9	4	5	4	7	9	6	9	7	6	4	3	3	6	2	7	4	118.980726	3	9	11	1.467125	1.781957	2	4	2	11	6	7	1.725152	6	7	10	9	8	2	1.33334	5	6	7	6	7	4	7	7	2	11	10	4	4	5	23	15	18	21	28	30	20	31	21	12	23	15	21	19	18	19	13	34	24	29	19	 6	 7	10	14	33	23	27	13	21	15	10	19	23	13	12	24	 8	11	18	20	22	25	 8	14	23	12	24	21	17	12	18	30	20	 5	29	14
NFKB1	12	15	10	8	9	13	3	8	3	10	8	5	11	2	8	4	4	10	24	5	13	8	10	4	3	3	7	2	6	6	33	2	17	10	2	1.521271	4	1.634842	1.899091	12	12	11	1.714864	6	7	7	3	8	2	1.112136	2	5	7	6	10	6	4	8	2	12	10	1.794777	9	7	18	82	17	12	22	24	12	13	25	18	17	33	25	20	10	24	23	26	22	25	25	17	23	25	18	25	25	12	10	32	31	18	22	13	23	36	25	 3	24	21	20	 5	27	24	25	21	39	19	21	27	28	36	25	23	 8	22	21
